input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###ïumidre###,muuiere,pupitre,0.011438,lumière,0.006992,0,0
###tvhvail###,thâvail,travail,0.216538,travail,0.216538,0,0
###ôjurire###,juprire,sourire,0.047633,sourire,0.047633,0,0
###ûffaïre###,ffarere,offense,0.002199,affaire,0.001911,0,0
###trêvsrs###,trévrrs,travers,0.664862,travers,0.664862,0,0
###chaçgkr###,chagair,cracher,0.004319,changer,0.000185,0,0
###ûooment###,omooent,odorant,0.027700,comment,0.000256,0,0
###gjnérèl###,géngril,général,0.036656,général,0.036656,0,0
###plqiskr###,ploisir,plaisir,0.729037,plaisir,0.729037,0,0
###rvisser###,reisser,remiser,0.018363,glisser,0.001185,0,0
###ajemter###,amemter,ameuter,0.514908,ajouter,0.022343,0,0
###oîcxper###,occéper,occuper,0.434565,occuper,0.434565,0,0
###dmccder###,déccier,douceur,0.010051,décider,0.001324,0,0
###squdaan###,suuaaet,soudain,0.029112,soudain,0.029112,0,0
###lvîsque###,llnsque,flasque,0.114461,lorsque,0.004713,0,0
###compxqr###,comqrer,collier,0.002917,compter,0.002461,0,0
###mîtvais###,mutvais,mauvais,0.061037,mauvais,0.061037,0,0
###réqéber###,éébéber,dérober,0.029531,répéter,0.001522,0,0
###cotlpur###,cotppur,couleur,0.013397,couleur,0.013397,0,0
###jâôrnal###,jnproal,journal,0.035958,journal,0.035958,0,0
###yafquer###,qyyqyer,relayer,0.004153,manquer,0.000259,0,0
###semyiée###,semhiée,semaine,0.184007,semaine,0.184007,0,0
###couçrer###,coubrer,contrer,0.018673,coucher,0.015410,0,0
###mvancûr###,minncer,autocar,0.005118,avancer,0.000756,0,0
###ürfille###,frillle,ficelle,0.001945,oreille,0.001226,0,0
###toocner###,toooner,tourner,0.053268,toucher,0.000196,0,0
###hûireux###,huireux,heureux,0.095616,heureux,0.095616,0,0
###csrtzin###,cirtinn,certain,0.008050,certain,0.008050,0,0
###jûérnée###,jrérnée,journée,0.796112,journée,0.796112,0,0
###pkutout###,poutout,partout,0.081069,partout,0.081069,0,0
###envbeer###,envevee,enlever,0.000526,envoyer,0.000143,0,0
###baertôt###,baertôt,bientôt,0.097274,bientôt,0.097274,0,0
###ensjïte###,enseête,entente,0.063274,ensuite,0.021279,0,0
###fgapyer###,ffapyer,flamber,0.005242,frapper,0.002865,0,0
###lleuxer###,llcuser,loucher,0.013128,pleurer,0.000073,0,0
###bonhnpr###,boobner,boucher,0.009308,bonheur,0.000053,0,0
###spçfire###,spppire,sourire,0.009941,suffire,0.001394,0,0
###maàdère###,mazèère,manière,0.144367,manière,0.144367,0,0
###penzver###,penvver,pencher,0.101128,pencher,0.101128,0,0
###pqslage###,plslage,passage,0.412724,passage,0.412724,0,0
###iefuter###,iefuter,imputer,0.066539,refuser,0.000097,0,0
###ûcheôer###,chôeeee,choquer,0.003226,acheter,0.000027,0,0
###exisqér###,exiséer,exister,0.535254,exister,0.535254,0,0
###vimlaoe###,vimlaue,village,0.023426,village,0.023426,0,0
###îecenir###,encenir,enculer,0.006364,retenir,0.000801,0,0
###sxrvite###,srrvite,servile,0.051195,service,0.038644,0,0
###poéhent###,poéhent,patient,0.012440,présent,0.004838,0,0
###feuuole###,feulole,feuille,0.437878,feuille,0.437878,0,0
###etdooit###,edtooit,entorse,0.010195,endroit,0.000339,0,0
###coiôine###,coioine,cuisine,0.014971,cuisine,0.014971,0,0
###espétir###,espétir,espérer,0.038917,espérer,0.038917,0,0
###khoisyr###,zôousor,choisir,0.019048,choisir,0.019048,0,0
###couvkçr###,couveer,couvrir,0.076809,couvrir,0.076809,0,0
###luisyue###,luisque,puisque,0.121977,puisque,0.121977,0,0
###rapuirt###,rapuirt,rapport,0.273946,rapport,0.273946,0,0
###gopndre###,gonndre,gouffre,0.010011,moindre,0.000402,0,0
###exwkple###,exlviex,exposer,0.011910,exemple,0.003308,0,0
###âssurqr###,scsrrir,pourrir,0.021096,assurer,0.000049,0,0
###aïpuyir###,appuyir,appuyer,0.039301,appuyer,0.039301,0,0
###thantir###,ttantir,chanter,0.049679,chanter,0.049679,0,0
###relôvêr###,revêvir,relever,0.049231,relever,0.049231,0,0
###zrèîner###,zrngèèr,ornière,0.034059,traîner,0.000036,0,0
###hésmtlr###,héstber,hériter,0.009539,hésiter,0.006064,0,0
###bhîrger###,blôrger,charger,0.017022,charger,0.017022,0,0
###cèussir###,coussir,coussin,0.152839,réussir,0.092789,0,0
###uemonde###,eemonde,seconde,0.060776,seconde,0.060776,0,0
###éhozner###,ééooner,échouer,0.004840,étonner,0.001225,0,0
###secorir###,secorir,décorer,0.041791,secouer,0.026771,0,0
###alwumôr###,alauuir,élargir,0.003403,allumer,0.000123,0,0
###chülyur###,cyôluur,couleur,0.130161,chaleur,0.035432,0,0
###barsslr###,barsser,baisser,0.223225,baisser,0.223225,0,0
###sqmmeçl###,symmlul,sommeil,0.597987,sommeil,0.597987,0,0
###musgqèe###,musèqge,musique,0.108309,musique,0.108309,0,0
###haevter###,hehvter,heurter,0.056015,habiter,0.015184,0,0
###djvàner###,duvener,deviner,0.122518,deviner,0.122518,0,0
###éênndre###,éénndre,méandre,0.043212,étendre,0.006214,0,0
###méboike###,méboiée,déboire,0.010467,mémoire,0.003778,0,0
###svpargr###,sasgrer,séparer,0.017410,séparer,0.017410,0,0
###rqmenir###,rombnir,ruminer,0.056463,ramener,0.040132,0,0
###iynoror###,injoror,informe,0.023111,ignorer,0.012843,0,0
###combérn###,combbrr,combler,0.148714,combien,0.007169,0,0
###oblîgrr###,olorger,plonger,0.037295,obliger,0.000982,0,0
###imoeüse###,imoeose,immense,0.254259,immense,0.254259,0,0
###wrodond###,roudood,complot,0.002594,profond,0.000052,0,0
###eomenâr###,eemener,emmener,0.132526,emmener,0.132526,0,0
###cuulohr###,cuulhir,couleur,0.208458,couloir,0.106019,0,0
###enîanse###,enteyse,entorse,0.005803,enfance,0.000488,0,0
###wtiange###,totagee,tranche,0.000817,étrange,0.000061,0,0
###êarôuer###,aarêuer,marquer,0.006880,marquer,0.006880,0,0
###éclwtkr###,écltter,éclater,0.285834,éclater,0.285834,0,0
###scufule###,suulule,souffle,0.034956,souffle,0.034956,0,0
###àépânse###,éépense,dépense,0.009499,réponse,0.006869,0,0
###qrelser###,qreller,sceller,0.019512,dresser,0.001882,0,0
###torcsau###,tortuau,torture,0.106492,morceau,0.001376,0,0
###eksquer###,eeequer,ébrouer,0.001934,risquer,0.000328,0,0
###rbnirer###,rénirer,rentrer,0.054682,retirer,0.016786,0,0
###gibqrté###,gibgrtt,gobelet,0.020213,liberté,0.013346,0,0
###honsekr###,honheer,honorer,0.133916,honneur,0.006232,0,0
###inhyrêt###,intilêt,intérêt,0.064455,intérêt,0.064455,0,0
###krompzr###,zrorpir,aborder,0.006081,tromper,0.004044,0,0
###dîêiger###,digêger,diriger,0.033458,diriger,0.033458,0,0
###ayrièhe###,axrièhe,arrière,0.300470,arrière,0.300470,0,0
###mnxager###,monager,ménager,0.391743,engager,0.002266,0,0
###maêhekr###,mimhher,malheur,0.007752,malheur,0.007752,0,0
###écagâer###,écarter,écarter,0.043896,écarter,0.043896,0,0
###robleur###,robleur,couleur,0.005734,douleur,0.002679,0,0
###nheoise###,heciise,hantise,0.096325,chemise,0.007030,0,0
###jcraspr###,carpppr,crisper,0.014987,écraser,0.000009,0,0
###cébleau###,cébleau,tableau,0.151746,tableau,0.151746,0,0
###zhapdau###,déapaau,drapeau,0.244129,chapeau,0.035005,0,0
###pissibn###,pission,passion,0.319179,passion,0.319179,0,0
###boctear###,bocteer,boiteux,0.011917,docteur,0.002528,0,0
###cohzent###,cohhent,content,0.046171,content,0.046171,0,0
###ccçable###,ccabble,écaille,0.003244,capable,0.002364,0,0
###èaonger###,agnggrr,aligner,0.008322,plonger,0.000215,0,0
###xrwnche###,trunche,tronche,0.010048,branche,0.001723,0,0
###machfke###,machshe,machine,0.428699,machine,0.428699,0,0
###cmnmeil###,chmmeil,sommeil,0.090845,conseil,0.012660,0,0
###ràuoser###,rojoser,récuser,0.004685,reposer,0.002663,0,0
###qéaâité###,étaiité,égalité,0.076221,réalité,0.003375,0,0
###vacàyce###,vacacce,vacance,0.371287,vacance,0.371287,0,0
###invjâer###,injvier,initier,0.058874,inviter,0.000750,0,0
###acêevnr###,acevver,avancer,0.034671,achever,0.003467,0,0
###râlplir###,rèpllir,remplir,0.115732,remplir,0.115732,0,0
###brilôir###,brilzir,briller,0.467527,briller,0.467527,0,0
###obteuxr###,oxtteur,orateur,0.138407,obtenir,0.000471,0,0
###éeinxre###,épirdre,éperdre,0.013254,peindre,0.000021,0,0
###ahrivêe###,auvivie,arrivée,0.122635,arrivée,0.122635,0,0
###courgàt###,courgnt,courant,0.399054,courant,0.399054,0,0
###anïlafs###,analass,anglais,0.220525,anglais,0.220525,0,0
###enleèér###,enleler,enlever,0.004513,enlever,0.004513,0,0
###mgçiage###,mmsgige,montage,0.016653,mariage,0.008489,0,0
###imuozer###,immomer,imposer,0.024948,imposer,0.024948,0,0
###ûaûteur###,abûreux,aigreur,0.044622,hauteur,0.000128,0,0
###çèévoir###,écvvoir,dévorer,0.003163,prévoir,0.001351,0,0
###proissr###,prossir,grossir,0.046070,croiser,0.000868,0,0
###aboenle###,aboonle,abeille,0.023353,absence,0.009475,0,0
###hlwnter###,hhentrr,chanter,0.033760,planter,0.000462,0,0
###nakuîel###,nnauuel,sensuel,0.046281,naturel,0.002054,0,0
###xédeain###,dxaaein,dessein,0.054996,médecin,0.000042,0,0
###artirôr###,artrrir,altérer,0.007177,attirer,0.004020,0,0
###luîelte###,lumelte,lunette,0.049664,lunette,0.049664,0,0
###volfnsé###,volsssé,voleter,0.071937,volonté,0.060853,0,0
###terqann###,terqann,terrain,0.262219,terrain,0.262219,0,0
###clsquir###,cllquir,cloquer,0.037491,claquer,0.024051,0,0
###cââzeau###,cââteau,château,0.108330,château,0.108330,0,0
###ohoquer###,omoquer,troquer,0.042501,évoquer,0.014656,0,0
###rausâer###,rausser,laurier,0.010222,hausser,0.002269,0,0
###pkessar###,ppesser,presser,0.342325,presser,0.342325,0,0
###cûurase###,cuusame,courage,0.004372,courage,0.004372,0,0
###âkfacer###,facecer,ficeler,0.023924,effacer,0.000065,0,0
###inhèile###,inbièle,inutile,0.009272,inutile,0.009272,0,0
###doéseur###,dosseur,danseur,0.011092,douceur,0.002973,0,0
###uraieer###,uauierr,taureau,0.003279,traiter,0.000002,0,0
###qontier###,tontier,portier,0.014312,confier,0.003456,0,0
###fauôgue###,fauague,fatigue,0.025835,fatigue,0.025835,0,0
###hodrvur###,hourrur,coureur,0.008692,horreur,0.006592,0,0
###rebjler###,rebbler,rebuter,0.035394,reculer,0.012896,0,0
###acèirer###,acaièer,attirer,0.006698,admirer,0.002079,0,0
###uééâtre###,écuétre,meurtre,0.022257,théâtre,0.000185,0,0
###màntecu###,mrntecu,marteau,0.024379,manteau,0.022418,0,0
###ïhaîser###,haasser,chasser,0.101737,chasser,0.101737,0,0
###cèfieux###,cixieux,curieux,0.127673,curieux,0.127673,0,0
###zorizçn###,zizpann,pimpant,0.009332,horizon,0.000147,0,0
###sérkeôx###,sérsrux,sérieux,0.201922,sérieux,0.201922,0,0
###migcsin###,misusin,mission,0.061374,magasin,0.006597,0,0
###xonract###,coaraat,correct,0.007121,contact,0.000162,0,0
###nonrrhr###,nonarir,nourrir,0.013663,nourrir,0.013663,0,0
###nrbuser###,nubuser,refuser,0.011835,creuser,0.006180,0,0
###pavüage###,payvage,partage,0.070708,paysage,0.013398,0,0
###ïêtente###,teneete,honnête,0.004224,attente,0.001379,0,0
###flktber###,flétber,flamber,0.067915,flotter,0.062941,0,0
###ïlqment###,llqtent,content,0.026449,élément,0.000505,0,0
###dééosur###,déoosur,déposer,0.195894,déposer,0.195894,0,0
###vocïété###,vocesté,velouté,0.020727,société,0.002707,0,0
###dàsârer###,dessrer,digérer,0.006390,désirer,0.005270,0,0
###nxcûser###,cacuser,crisser,0.009365,excuser,0.000657,0,0
###wncontu###,nocteau,bestiau,0.040403,inconnu,0.000708,0,0
###entsïdu###,enttaus,entendu,0.040052,entendu,0.040052,0,0
###maqaïie###,mamaiie,malaise,0.006358,maladie,0.005964,0,0
###rsvérer###,révérer,dévorer,0.145480,révéler,0.006527,0,0
###émoîqon###,émosoon,émotion,0.594909,émotion,0.594909,0,0
###épfnser###,épffser,épuiser,0.043763,épouser,0.043064,0,0
###eïnkyer###,enntyer,ennuyer,0.802735,ennuyer,0.802735,0,0
###âualtté###,attltté,netteté,0.051891,qualité,0.000547,0,0
###maàièye###,mazière,manière,0.060704,matière,0.037862,0,0
###xnivtrs###,inivtrs,univers,0.007314,univers,0.007314,0,0
###dégajar###,dégaaar,dégager,0.081143,dégager,0.081143,0,0
###cicesse###,cicesse,cocasse,0.121188,vitesse,0.016263,0,0
###étaylsr###,étaaler,établir,0.023004,établir,0.023004,0,0
###envrfir###,envrrir,envahir,0.030885,envahir,0.030885,0,0
###fioprer###,fioprer,figurer,0.047610,figurer,0.047610,0,0
###éurgace###,éuraage,surface,0.006603,surface,0.006603,0,0
###mêurnir###,muurnir,fournir,0.059476,fournir,0.059476,0,0
###sosêume###,sostême,système,0.028128,costume,0.014823,0,0
###nobline###,nobline,colline,0.040205,colline,0.040205,0,0
###esouyàr###,esouyer,essuyer,0.358666,essuyer,0.358666,0,0
###hôgütal###,hôbotal,hôpital,0.753581,hôpital,0.753581,0,0
###scuvave###,suuvave,sauvage,0.038023,sauvage,0.038023,0,0
###lêctule###,luclume,lecture,0.011014,lecture,0.011014,0,0
###yérûter###,réryter,hériter,0.006858,mériter,0.003250,0,0
###plalàau###,plaleau,plateau,0.164530,plateau,0.164530,0,0
###poifstn###,poissnt,poisson,0.027265,poisson,0.027265,0,0
###calyvre###,calavre,cadavre,0.054575,cadavre,0.054575,0,0
###miltixn###,miltion,million,0.439137,million,0.439137,0,0
###codqeau###,comqeau,couteau,0.021664,couteau,0.021664,0,0
###crbiâte###,criâire,croître,0.002245,crainte,0.001525,0,0
###menaûsr###,mensaes,menteur,0.011420,menacer,0.002464,0,0
###çroèver###,orvvèrr,ornière,0.006774,prouver,0.000102,0,0
###téfenue###,ténenue,retenue,0.026057,défense,0.000031,0,0
###jizarèe###,zizerre,bizarre,0.073335,bizarre,0.073335,0,0
###zisizer###,zizirer,désirer,0.013558,visiter,0.000605,0,0
###bkêjour###,bêojour,bonjour,0.089809,bonjour,0.089809,0,0
###réseôje###,réserse,réserve,0.094418,réserve,0.094418,0,0
###foréîne###,forfone,fortune,0.085104,fortune,0.085104,0,0
###viqlelt###,viellnt,violent,0.159135,violent,0.159135,0,0
###outriar###,outriar,ouvrier,0.117572,ouvrier,0.117572,0,0
###gritéer###,gritéer,griller,0.019477,grimper,0.007239,0,0
###afivant###,afivant,avenant,0.014175,suivant,0.009700,0,0
###guetlyr###,guglyer,tutoyer,0.014538,guetter,0.007039,0,0
###wyvtère###,vyytère,mystère,0.034147,mystère,0.034147,0,0
###abétwre###,abéttre,abattre,0.172503,abattre,0.172503,0,0
###dsminar###,diminar,dominer,0.568910,dominer,0.568910,0,0
###réduoüe###,rédooue,réforme,0.028070,réduire,0.026750,0,0
###açthcle###,artelle,article,0.087694,article,0.087694,0,0
###psaçond###,ptapdnd,plaider,0.056702,plafond,0.022474,0,0
###frèttnr###,frottir,frotter,0.682910,frotter,0.682910,0,0
###àhlonne###,hhonnne,honnête,0.005888,colonne,0.000863,0,0
###mdreàse###,memeise,malaise,0.031543,adresse,0.000090,0,0
###dosdixr###,doxdiir,docteur,0.008040,dossier,0.003306,0,0
###kibèrer###,zipirer,libérer,0.014019,libérer,0.014019,0,0
###mçssnon###,minsson,mousson,0.014941,mission,0.008555,0,0
###wïjeter###,jjeteer,éjecter,0.005302,rejeter,0.000334,0,0
###sêàrcil###,snslcil,saillir,0.066082,sourcil,0.009886,0,0
###jonyler###,jonôler,jongler,0.284106,gonfler,0.004048,0,0
###jurllat###,julllat,juillet,0.024895,juillet,0.024895,0,0
###mrâurer###,mrurrer,mesurer,0.018540,mesurer,0.018540,0,0
###codouel###,codoull,corolle,0.078071,colonel,0.014535,0,0
###qysthme###,qystqme,système,0.013376,système,0.013376,0,0
###opigiîe###,opioige,origine,0.016381,origine,0.016381,0,0
###àêandir###,anvêrir,ancêtre,0.026508,grandir,0.000257,0,0
###cfanéon###,caançon,chanson,0.029926,chanson,0.029926,0,0
###intfiet###,iniiiet,inquiet,0.096744,inquiet,0.096744,0,0
###ceôlvle###,ceôllle,cellule,0.374624,cellule,0.374624,0,0
###épâjuve###,éppeuve,épreuve,0.871454,épreuve,0.871454,0,0
###jsstôce###,sostice,justice,0.323125,justice,0.323125,0,0
###logaine###,logaine,logique,0.011625,domaine,0.000538,0,0
###viîtôme###,viotôme,victime,0.536612,victime,0.536612,0,0
###pèigâée###,pâigège,collège,0.005595,poignée,0.003518,0,0
###bppoger###,pèpoger,tapoter,0.002811,opposer,0.000461,0,0
###aftisôe###,aftisse,altesse,0.050351,artiste,0.004992,0,0
###ètexnel###,fnnelle,ficelle,0.012146,éternel,0.000002,0,0
###érècher###,échcher,évacuer,0.010628,cracher,0.005748,0,0
###aümoçre###,ammeare,armoire,0.064027,armoire,0.064027,0,0
###éxtrêqe###,éxérque,guérite,0.005142,extrême,0.000681,0,0
###frogjle###,frofole,fragile,0.208943,fragile,0.208943,0,0
###atgyier###,attayer,bégayer,0.005166,atelier,0.000160,0,0
###peûnfre###,pennfre,peintre,0.010097,peintre,0.010097,0,0
###jortler###,jortler,morfler,0.024770,portier,0.001568,0,0
###ànfïler###,fléller,faillir,0.008893,enfiler,0.000019,0,0
###cizéine###,cizeine,dizaine,0.171298,dizaine,0.171298,0,0
###opânitn###,oponiit,opinion,0.062187,opinion,0.062187,0,0
###psrieux###,prrieux,peureux,0.023606,furieux,0.001032,0,0
###ekkrcer###,emercer,émerger,0.032121,exercer,0.016668,0,0
###coêpâet###,coppêet,couplet,0.023188,complet,0.006354,0,0
###cnaqrin###,claqrin,chagrin,0.079214,chagrin,0.079214,0,0
###revpcct###,recpcct,respect,0.270163,respect,0.270163,0,0
###hiviare###,hhiivre,revivre,0.003196,rivière,0.000072,0,0
###aôtymne###,antmmne,automne,0.269918,automne,0.269918,0,0
###fzivlir###,fiivlir,faillir,0.212877,faillir,0.212877,0,0
###pasftit###,pasftit,passant,0.070457,parfait,0.032754,0,0
###blesôur###,blesuur,blesser,0.004807,blesser,0.004807,0,0
###iaiilir###,iiillir,initier,0.001481,jaillir,0.000439,0,0
###pocgnçt###,ponprnt,portant,0.008851,poignet,0.003200,0,0
###boitner###,boitner,boiteux,0.026004,soigner,0.011339,0,0
###mlssame###,mlasame,message,0.009691,message,0.009691,0,0
###cçifjer###,cuiffer,coiffer,0.045774,coiffer,0.045774,0,0
###milgiér###,milgier,millier,0.063611,millier,0.063611,0,0
###mjrkcle###,murfcce,monocle,0.059405,miracle,0.049754,0,0
###péyioêe###,pépooie,pétoche,0.033728,période,0.001619,0,0
###cèrremu###,curmemu,curieux,0.054703,carreau,0.008947,0,0
###xeilljr###,cxileer,excéder,0.002473,veiller,0.000387,0,0
###élancoe###,énancme,énoncer,0.064877,planche,0.000489,0,0
###baigyôr###,baigyrr,balayer,0.197307,baigner,0.107528,0,0
###àefaièe###,affaète,défaite,0.002243,refaire,0.000260,0,0
###sâûours###,smésurs,secours,0.386222,secours,0.386222,0,0
###riguànr###,riggnir,rigueur,0.010024,rigueur,0.010024,0,0
###dérrère###,dérrère,décrire,0.097104,décrire,0.097104,0,0
###siuflér###,siuuler,sangler,0.005189,siffler,0.000962,0,0
###êemanpe###,eêmepte,emmerde,0.004586,demande,0.000099,0,0
###acyuûer###,amylyer,affluer,0.010337,accuser,0.000037,0,0
###affweçx###,affeenx,affreux,0.062886,affreux,0.062886,0,0
###empàrbr###,empbrbr,empirer,0.270391,emparer,0.172164,0,0
###hdürter###,hhhrter,heurter,0.167069,heurter,0.167069,0,0
###wailàou###,aaioouu,baroque,0.004653,caillou,0.000007,0,0
###ûveegle###,veeelle,cellule,0.003785,aveugle,0.001529,0,0
###gûctter###,guôtter,gratter,0.146468,gratter,0.146468,0,0
###poiütgr###,poither,poignet,0.011277,pointer,0.001099,0,0
###eçpoder###,eepoder,reposer,0.006464,exposer,0.004669,0,0
###rvdrtir###,rérrrir,horreur,0.005719,avertir,0.001056,0,0
###dévêrjr###,dévêrir,dévêtir,0.738104,dévorer,0.209483,0,0
###dxapenu###,dranenu,drapeau,0.364051,drapeau,0.364051,0,0
###lstiçer###,lliiier,laurier,0.005250,estimer,0.000038,0,0
###tahtler###,tahller,tailler,0.228447,tailler,0.228447,0,0
###dyiftmr###,ddityer,dentier,0.023579,drifter,0.005366,0,0
###bdlaybr###,bylbyer,barbier,0.094425,balayer,0.073225,0,0
###nanôage###,nanaage,panache,0.006694,langage,0.001963,0,0
###éulotée###,éulétte,éclater,0.049794,culotte,0.049658,0,0
###euàrage###,euurage,ouvrage,0.021392,ouvrage,0.021392,0,0
###oentkal###,oentaal,central,0.002396,central,0.002396,0,0
###wraquqr###,qraquer,craquer,0.079754,craquer,0.079754,0,0
###ôouqàet###,ojuotet,oeillet,0.006982,bouquet,0.004000,0,0
###attttue###,attttue,abattre,0.011786,attaque,0.004807,0,0
###célàcat###,célacat,délicat,0.062355,délicat,0.062355,0,0
###èentiar###,nnntarr,annuler,0.020394,sentier,0.000440,0,0
###îabinnt###,arbrnnt,antenne,0.014304,cabinet,0.006878,0,0
###repryre###,repryre,reprise,0.037698,reprise,0.037698,0,0
###bràlaèt###,brûlait,brûlant,0.017039,brûlant,0.017039,0,0
###pctbbre###,clbrbre,chambre,0.014092,octobre,0.001921,0,0
###shacuêe###,suanume,stature,0.018144,chacune,0.001004,0,0
###quelôas###,queluas,quelles,0.356388,quelles,0.356388,0,0
###fantnje###,fanence,faïence,0.019566,fantôme,0.003301,0,0
###qelïurs###,qeôqurs,velours,0.027963,velours,0.027963,0,0
###neîvxux###,nnnveux,nerveux,0.802012,nerveux,0.802012,0,0
###ftalidn###,ftalinn,italien,0.138568,italien,0.138568,0,0
###souçcer###,souccer,soulier,0.015912,soulier,0.015912,0,0
###brèzque###,brzèque,branque,0.191282,brusque,0.096364,0,0
###aprisfr###,apriror,apaiser,0.016727,apaiser,0.016727,0,0
###woüerne###,oeberne,offense,0.004675,moderne,0.000303,0,0
###ïormïle###,oormele,formule,0.004274,formule,0.004274,0,0
###placnyd###,placndd,plainte,0.028980,placard,0.022558,0,0
###bmgnble###,blanble,bouille,0.035241,bagnole,0.000784,0,0
###càavaqe###,caaaque,cravate,0.001966,cravate,0.001966,0,0
###îatinhe###,attanhe,attache,0.163239,matinée,0.000138,0,0
###méchàbt###,mébhent,méchant,0.073308,méchant,0.073308,0,0
###ziïrine###,iizrine,dizaine,0.067080,vitrine,0.010126,0,0
###publîïr###,puploer,publier,0.157626,publier,0.157626,0,0
###ridoker###,rifoier,rigoler,0.012817,rigoler,0.012817,0,0
###céyèbèe###,cytèèhe,célèbre,0.067274,célèbre,0.067274,0,0
###évsdedt###,éésdedt,évident,0.110070,évident,0.110070,0,0
###mquiülé###,mouillé,mouillé,0.891712,mouillé,0.891712,0,0
###ovguehl###,olouell,orgueil,0.167026,orgueil,0.167026,0,0
###aîoider###,adoider,adopter,0.031410,aborder,0.004032,0,0
###reploïr###,revloir,remplir,0.024303,replier,0.004156,0,0
###ehwffre###,effffre,enduire,0.002272,chiffre,0.001100,0,0
###épuower###,épuloer,épuiser,0.157753,épuiser,0.157753,0,0
###bâuîfer###,bâuffer,bouffer,0.030836,bouffer,0.030836,0,0
###carxswe###,carisme,caresse,0.011479,caresse,0.011479,0,0
###çisclet###,sisclet,discret,0.008854,discret,0.008854,0,0
###téâinin###,ttticin,terrain,0.013754,féminin,0.001337,0,0
###nionité###,nninité,dignité,0.013772,dignité,0.013772,0,0
###jokndfe###,jonndée,poindre,0.009456,joindre,0.007279,0,0
###pbfiler###,pifiler,picoler,0.006730,défiler,0.001087,0,0
###plêsant###,plûsant,pensant,0.062012,passant,0.018341,0,0
###îchènge###,chngège,méninge,0.018368,échange,0.001190,0,0
###endwrôi###,enderii,enivrer,0.035749,endormi,0.013718,0,0
###déêaore###,dévoore,déboire,0.036993,défaire,0.002034,0,0
###galekâe###,galexte,galette,0.067525,galerie,0.042067,0,0
###vremger###,vremger,tremper,0.041767,tremper,0.041767,0,0
###gacçien###,gaaeien,gardien,0.390809,gardien,0.390809,0,0
###likvson###,linsson,liaison,0.045505,liaison,0.045505,0,0
###échiile###,écbiile,écaille,0.053222,échelle,0.000448,0,0
###moduate###,moduate,moduler,0.331989,modeste,0.148970,0,0
###fadilué###,fafilué,fatigué,0.027290,fatigué,0.027290,0,0
###êurmuûe###,uumuume,mutisme,0.009343,murmure,0.002636,0,0
###frimaûe###,frimame,fromage,0.056557,grimace,0.013450,0,0
###gropuer###,gropuer,grogner,0.038140,grogner,0.038140,0,0
###temèmte###,temuète,tempête,0.034818,tempête,0.034818,0,0
