input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
####oubl#####,obblbol,bourbon,0.038253,oublier,0.000143,0,0
####souv#####,souvovu,pouvoir,0.108064,souvent,0.002912,0,0
####voit#####,voivort,voiture,0.165037,voiture,0.165037,0,0
####fenê#####,fenêenn,fenêtre,0.009920,fenêtre,0.009920,0,0
####rent#####,reetent,revient,0.010387,rentrer,0.000008,0,0
####mont#####,mommtot,complot,0.015715,montrer,0.000645,0,0
####fami#####,famfwan,feindre,0.013089,famille,0.000835,0,0
####lumi#####,lumllai,lumière,0.252020,lumière,0.252020,0,0
####trav#####,travvao,travers,0.062238,travail,0.007721,0,0
####sour#####,sousous,mourant,0.010687,sourire,0.003710,0,0
####affa#####,ffffaaf,effrayé,0.063186,affaire,0.001884,0,0
####trav#####,travvao,travers,0.062238,travers,0.062238,0,0
####chan#####,chachon,chanson,0.097534,changer,0.001299,0,0
####comm#####,commman,comique,0.071889,comment,0.008278,0,0
####géné#####,généégé,général,0.011952,général,0.011952,0,0
####plai#####,plppiao,chapeau,0.008517,plaisir,0.000440,0,0
####glis#####,gliguis,gaulois,0.048240,glisser,0.012536,0,0
####ajou#####,ajauqux,artisan,0.001276,ajouter,0.000704,0,0
####occu#####,ooccecu,cocotte,0.007119,occuper,0.002836,0,0
####déci#####,décrdco,décence,0.335560,décider,0.013720,0,0
####soud#####,sousaud,amusant,0.011649,soudain,0.000642,0,0
####lors#####,lonllos,quelles,0.012318,lorsque,0.000028,0,0
####comp#####,comppro,compère,0.166887,compter,0.165223,0,0
####mauv#####,mauvevu,sauveur,0.062758,mauvais,0.023930,0,0
####répé#####,répéppé,répéter,0.016083,répéter,0.016083,0,0
####coul#####,couceol,coulant,0.178979,couleur,0.146915,0,0
####jour#####,jojrouu,journée,0.050379,journal,0.020221,0,0
####manq#####,mamnaau,minéral,0.001504,manquer,0.000163,0,0
####sema#####,semheas,samovar,0.002220,semaine,0.000099,0,0
####couc#####,couceru,coucher,0.141749,coucher,0.141749,0,0
####avan#####,avaraac,agaçant,0.009337,avancer,0.002613,0,0
####orei#####,ooooiri,endormi,0.013962,oreille,0.000095,0,0
####touc#####,toutacu,couteau,0.038555,toucher,0.000394,0,0
####heur#####,hhureur,horreur,0.186624,heureux,0.107091,0,0
####cert#####,cencert,cerceau,0.106767,certain,0.000082,0,0
####jour#####,jojrouu,journée,0.050379,journée,0.050379,0,0
####part#####,paptart,portant,0.024250,partout,0.002482,0,0
####envo#####,envveos,inverse,0.028659,envoyer,0.009603,0,0
####bien#####,bibnbôn,bourbon,0.101066,bientôt,0.000354,0,0
####ensu#####,eneueuu,chevelu,0.002126,ensuite,0.000123,0,0
####frap#####,frapaao,frapper,0.018845,frapper,0.018845,0,0
####pleu#####,pleuelu,pleurer,0.321255,pleurer,0.321255,0,0
####bonh#####,bonbhon,bourbon,0.343834,bonheur,0.001439,0,0
####suff#####,fufffvf,suffire,0.140674,suffire,0.140674,0,0
####mani#####,mammaan,murmure,0.011812,manière,0.000124,0,0
####penc#####,pencecu,pinceau,0.019636,pencher,0.006754,0,0
####pass#####,passaas,pensant,0.021676,passage,0.004377,0,0
####refu#####,refueau,refuser,0.004831,refuser,0.004831,0,0
####ache#####,hahahhe,attache,0.010410,acheter,0.000010,0,0
####exis#####,exiseix,exister,0.626250,exister,0.626250,0,1
####vill#####,vinlbll,vitrail,0.067012,village,0.030610,0,0
####rete#####,reterre,serrure,0.000916,retenir,0.000004,0,0
####serv#####,sevvevs,serveur,0.081511,service,0.010363,0,0
####prés#####,prpppré,prostré,0.044630,présent,0.002438,0,0
####feui#####,feureux,feutrer,0.067412,feuille,0.051300,0,0
####endr#####,endener,égrener,0.002296,endroit,0.000112,0,0
####cuis#####,cuicuvs,crisper,0.021210,cuisine,0.005257,0,0
####espé#####,espepsé,excepté,0.021452,espérer,0.000059,0,0
####choi#####,châhhhn,coucher,0.063413,choisir,0.000198,0,0
####couv#####,couvevu,couvert,0.051211,couvrir,0.001513,0,0
####puis#####,puupuis,peupler,0.280075,puisque,0.001431,0,0
####rapp#####,rrppppo,frapper,0.067551,rapport,0.047588,0,0
####moin#####,mommion,moignon,0.011593,moindre,0.000180,0,0
####exem#####,exememx,exemple,0.098344,exemple,0.098344,0,0
####assu#####,aasssus,amusant,0.004188,assurer,0.000066,0,0
####appu#####,ppppppu,frapper,0.037835,appuyer,0.000367,0,0
####chan#####,chachon,chanson,0.097534,chanter,0.001611,0,0
####rele#####,rererle,demeure,0.001212,relever,0.000560,0,0
####traî#####,traîtro,traître,0.114020,traîner,0.000097,0,0
####hési#####,héshiif,hésiter,0.141030,hésiter,0.141030,0,0
####char#####,charhon,cracher,0.127176,charger,0.030180,0,0
####réus#####,réérers,décrire,0.002510,réussir,0.000138,0,0
####seco#####,secocvu,sacoche,0.018216,seconde,0.001475,0,0
####éton#####,évotton,écouter,0.022675,étonner,0.000465,0,0
####seco#####,secocvu,sacoche,0.018216,secouer,0.001417,0,0
####allu#####,aluleau,altesse,0.005456,allumer,0.003678,0,0
####chal#####,chachal,crachat,0.070496,chaleur,0.004810,0,0
####bais#####,baisaan,baisser,0.095796,baisser,0.095796,0,0
####somm#####,somhsoé,sombrer,0.016307,sommeil,0.013409,0,0
####musi#####,musseis,musette,0.055820,musique,0.039583,0,0
####habi#####,hhbhhan,haillon,0.028271,habiter,0.011820,0,0
####devi#####,diveedf,déduire,0.048676,deviner,0.003969,0,0
####éten#####,éjeeton,émettre,0.009624,étendre,0.000951,0,0
####mémo#####,mémoooo,mémoire,0.206864,mémoire,0.206864,0,0
####sépa#####,sépappé,séparer,0.027643,séparer,0.027643,0,0
####rame#####,mamrrme,égoïsme,0.004375,ramener,0.000009,0,0
####igno#####,giiggon,fourgon,0.002843,ignorer,0.000073,0,0
####comb#####,combbro,combler,0.354727,combien,0.050393,0,0
####obli#####,oobloai,oublier,0.010203,obliger,0.000978,0,0
####imme#####,mmmmime,égoïsme,0.001280,immense,0.000041,0,0
####prof#####,propfro,proprio,0.024585,profond,0.007505,0,0
####emme#####,emmeeme,comment,0.012121,emmener,0.003739,0,0
####coul#####,couceol,coulant,0.178979,couloir,0.053022,0,0
####enfa#####,effaeau,macadam,0.001768,enfance,0.000293,0,0
####étra#####,éérttaé,constat,0.001192,étrange,0.000130,0,0
####marq#####,mamqqas,minéral,0.005496,marquer,0.000325,0,0
####écla#####,éccceal,écusson,0.002719,éclater,0.001003,0,0
####souf#####,sousars,amusant,0.005064,souffle,0.000014,0,0
####répo#####,réporpo,pérorer,0.013371,réponse,0.000835,0,0
####dres#####,dessrrs,dresser,0.015065,dresser,0.015065,0,0
####morc#####,moorhcl,moindre,0.003672,morceau,0.001706,0,0
####risq#####,iisqars,gravats,0.003690,risquer,0.000495,0,0
####reti#####,retreat,respect,0.001114,retirer,0.000046,0,0
####libe#####,libribe,vibrant,0.038887,liberté,0.016715,0,0
####honn#####,hhnhhnn,haillon,0.060653,honneur,0.000533,0,0
####inté#####,iégiété,société,0.003776,intérêt,0.000042,0,0
####trom#####,trotwoo,trotter,0.133415,tromper,0.078872,0,0
####diri#####,didrdif,citadin,0.008771,diriger,0.002384,0,0
####arri#####,aariiri,affaire,0.006410,arrière,0.000205,0,0
####enga#####,engaeau,engager,0.011124,engager,0.011124,0,0
####malh#####,mammhal,bestial,0.005444,malheur,0.000044,0,0
####écar#####,écrréaa,écarter,0.017896,écarter,0.017896,0,0
####doul#####,douleuu,douleur,0.637605,douleur,0.637605,0,1
####chem#####,chômhmm,chameau,0.060374,chemise,0.055773,0,0
####écra#####,éccécaé,échéant,0.004647,écraser,0.000626,0,0
####tabl#####,tattaal,trotter,0.050387,tableau,0.000431,0,0
####chap#####,chaphpn,chapeau,0.320710,chapeau,0.320710,0,0
####pass#####,passaas,pensant,0.021676,passion,0.000352,0,0
####doct#####,docccct,donnant,0.027238,docteur,0.006419,0,0
####cont#####,conchnt,content,0.040033,content,0.040033,0,0
####capa#####,cappaau,chapeau,0.025640,capable,0.013917,0,0
####plon#####,ponphon,pension,0.014692,plonger,0.000318,0,0
####bran#####,brabzan,artisan,0.020902,branche,0.004529,0,0
####mach#####,macrhhl,écorché,0.006544,machine,0.000024,0,0
####cons#####,concoon,censure,0.018811,conseil,0.006576,0,0
####repo#####,révpppo,frapper,0.047854,reposer,0.000028,0,0
####réal#####,rééraal,journal,0.008970,réalité,0.000171,0,0
####vaca#####,vavvaal,cerveau,0.026113,vacance,0.000031,0,0
####invi#####,inviiau,inviter,0.193785,inviter,0.193785,0,0
####ache#####,hahahhe,attache,0.010410,achever,0.000040,0,0
####remp#####,remppry,rempart,0.151060,remplir,0.017684,0,0
####bril#####,brûbril,bouleau,0.061841,briller,0.014736,0,0
####obte#####,oobotte,oublier,0.036451,obtenir,0.000253,0,0
####pein#####,peippin,peupler,0.056602,peindre,0.006677,0,0
####arri#####,aariiri,affaire,0.006410,arrivée,0.000018,0,0
####cour#####,courorr,courant,0.201860,courant,0.201860,0,0
####angl#####,aaglngl,charnel,0.011270,anglais,0.000292,0,0
####enle#####,eneeell,annexer,0.002847,enlever,0.002129,0,0
####mari#####,marmwai,murmure,0.072316,mariage,0.000778,0,0
####impo#####,iémppoo,complot,0.004084,imposer,0.000024,0,0
####haut#####,hauhaut,souhait,0.050048,hauteur,0.004206,0,0
####prév#####,prêppvé,prendre,0.005697,prévoir,0.000533,0,0
####croi#####,croccro,cerceau,0.018415,croiser,0.000094,0,0
####abse#####,absabse,bourbon,0.001201,absence,0.000033,0,0
####plan#####,plalaau,plateau,0.031776,planter,0.000292,0,0
####natu#####,nanneau,nouveau,0.053576,naturel,0.000393,0,0
####méde#####,mémmdde,méthode,0.010614,médecin,0.000127,0,0
####atti#####,atttaai,attaque,0.009081,attirer,0.007494,0,0
####lune#####,luleenu,luzerne,0.004152,lunette,0.002752,0,0
####volo#####,vovvooé,vouloir,0.031763,volonté,0.002881,0,0
####terr#####,tetrter,trotter,0.230584,terrain,0.000021,0,0
####claq#####,claqiau,cligner,0.027411,claquer,0.025683,0,0
####chât#####,châchat,crachat,0.108428,château,0.037235,0,0
####évoq#####,élovovo,éloigné,0.063384,évoquer,0.005940,0,0
####haus#####,hauseus,hussard,0.007299,hausser,0.003303,0,0
####pres#####,prpsprs,prostré,0.029907,presser,0.009746,0,0
####cour#####,courorr,courant,0.201860,courage,0.108450,0,0
####effa#####,fffraac,offense,0.014879,effacer,0.008779,0,0
####inut#####,ioqieut,inquiet,0.006756,inutile,0.000023,0,0
####douc#####,doucuru,douceur,0.443483,douceur,0.443483,0,0
####trai#####,tratwao,traquer,0.011849,traiter,0.002304,0,0
####conf#####,conffrn,confier,0.074920,confier,0.074920,0,0
####fati#####,fatiaat,feindre,0.008910,fatigue,0.000096,0,0
####horr#####,hoorhrr,horreur,0.141170,horreur,0.141170,0,0
####recu#####,recuecu,recueil,0.022837,reculer,0.001339,0,0
####admi#####,daanddm,bigoudi,0.003536,admirer,0.000084,0,0
####théâ#####,thââthé,théâtre,0.023084,théâtre,0.023084,0,0
####mant#####,mammant,normand,0.006956,manteau,0.000051,0,0
####chas#####,chashas,chasser,0.050143,chasser,0.050143,0,0
####curi#####,cuucpié,cerceau,0.016641,curieux,0.005238,0,0
####hori#####,hoohhoi,hommage,0.016945,horizon,0.002764,0,0
####séri#####,sérssié,réussir,0.009562,sérieux,0.003887,0,0
####maga#####,magaaay,engrais,0.004424,magasin,0.000855,0,0
####cont#####,conchnt,content,0.040033,contact,0.007112,0,0
####nour#####,nonnour,noiraud,0.047125,nourrir,0.014304,0,0
####creu#####,cruceru,cerceau,0.089083,creuser,0.019509,0,0
####pays#####,pyysayo,paysage,0.825616,paysage,0.825616,0,1
####atte#####,attette,attente,0.052977,attente,0.052977,0,0
####flot#####,flotfot,flotter,0.358903,flotter,0.358903,0,0
####élém#####,ééxémyé,égalité,0.003711,élément,0.001688,0,0
####dépo#####,déppéro,proprio,0.015114,déposer,0.001988,0,0
####soci#####,sochcif,rocheux,0.001961,société,0.001424,0,0
####dési#####,désidrs,déduire,0.029711,désirer,0.005364,0,0
####excu#####,exxueux,excuser,0.155580,excuser,0.155580,0,0
####inco#####,iocoiau,cocotte,0.012906,inconnu,0.003984,0,0
####ente#####,eetentt,parenté,0.004882,entendu,0.000402,0,0
####mala#####,mammaal,matelas,0.001908,maladie,0.000020,0,0
####révé#####,révéévé,réservé,0.095053,révéler,0.003178,0,0
####émot#####,émortot,émotion,0.027618,émotion,0.027618,0,0
####épou#####,époppué,épouser,0.072470,épouser,0.072470,0,0
####ennu#####,eneuenu,inconnu,0.004795,ennuyer,0.000086,0,0
####qual#####,qlaquul,quelque,0.313679,qualité,0.005475,0,0
####mati#####,matrwai,matelas,0.006949,matière,0.000148,0,0
####univ#####,unvvenu,unisson,0.041844,univers,0.027786,0,0
####déga#####,dégaaad,dégager,0.191217,dégager,0.191217,0,0
####vite#####,vitetre,vitesse,0.089987,vitesse,0.089987,0,0
####étab#####,ébbraaé,élégant,0.002061,établir,0.000135,0,0
####enva#####,envveas,cerveau,0.031593,envahir,0.000576,0,0
####figu#####,figugif,engager,0.020211,figurer,0.010304,0,0
####surf#####,surssur,buisson,0.014908,surface,0.000372,0,0
####four#####,fouroux,fourrer,0.095235,fournir,0.012513,0,0
####cost#####,coscoat,costume,0.007241,costume,0.007241,0,0
####coll#####,cocloll,coulant,0.020979,colline,0.000677,0,0
####essu#####,eesueus,gravats,0.002766,essuyer,0.000097,0,0
####hôpi#####,hôprhaf,hôpital,0.248744,hôpital,0.248744,0,0
####sauv#####,sauvevu,sauveur,0.040546,sauvage,0.014929,0,0
####lect#####,leclect,dessert,0.004108,lecture,0.000041,0,0
####méri#####,mérriri,mériter,0.040528,mériter,0.040528,0,0
####plat#####,plptaat,plateau,0.042854,plateau,0.042854,0,0
####pois#####,poipois,pompier,0.022296,poisson,0.008081,0,0
####cada#####,caaaaad,cavaler,0.005710,cadavre,0.001037,0,0
####mill#####,mimllll,tilleul,0.009269,million,0.000661,0,0
####cout#####,coucert,couteau,0.037446,couteau,0.037446,0,0
####crai#####,crarcao,crachat,0.020268,crainte,0.000992,0,0
####mena#####,memmeau,chameau,0.016793,menacer,0.000048,0,0
####prou#####,prophro,proprio,0.328719,prouver,0.002380,0,0
####défe#####,défedre,déduire,0.017395,défense,0.002215,0,0
####biza#####,bibaban,bourbon,0.039590,bizarre,0.012414,0,0
####visi#####,viskvis,visiter,0.109282,visiter,0.109282,0,0
####bonj#####,bonjbrn,bourbon,0.150248,bonjour,0.029131,0,0
####rése#####,réssrre,mésange,0.003976,réserve,0.002460,0,0
####fort#####,fouffrt,confort,0.012635,fortune,0.000018,0,0
####viol#####,vivviol,vitrail,0.034140,violent,0.002480,0,0
####ouvr#####,oovrrur,ouvrage,0.049158,ouvrier,0.036193,0,0
####grim#####,grigrrn,geindre,0.028766,grimper,0.002847,0,0
####suiv#####,uuivuvs,puisque,0.055148,suivant,0.024721,0,0
####guet#####,guggeut,guignol,0.024547,guetter,0.013145,0,0
####myst#####,mystwms,zyeuter,0.017160,mystère,0.012206,0,0
####abat#####,abataat,attrait,0.004616,abattre,0.000389,0,0
####domi#####,dommddi,domaine,0.052540,dominer,0.037401,0,0
####rédu#####,répuéuu,réputer,0.011322,réduire,0.002337,0,0
####arti#####,aatiiat,artisan,0.003759,article,0.000316,0,0
####plaf#####,plalaad,plafond,0.025308,plafond,0.025308,0,0
####frot#####,foofrrt,forfait,0.021837,frotter,0.000087,0,0
####colo#####,conocoo,complot,0.006303,colonne,0.000123,0,0
####adre#####,aarrare,éperdre,0.002273,adresse,0.000056,0,0
####doss#####,dossors,dessous,0.023286,dossier,0.000928,0,0
####libé#####,liblblé,liberté,0.091446,libérer,0.013383,0,0
####miss#####,misssos,mission,0.078610,mission,0.078610,0,0
####reje#####,rejerre,demeure,0.001922,rejeter,0.000035,0,0
####sour#####,sousous,mourant,0.010687,sourcil,0.001062,0,0
####gonf#####,gongfrn,gonfler,0.424455,gonfler,0.424455,0,0
####juil#####,jujlial,jaillir,0.050336,juillet,0.006241,0,0
####mesu#####,mesmeas,suspens,0.022703,mesurer,0.002865,0,0
####colo#####,conocoo,complot,0.006303,colonel,0.000121,0,0
####syst#####,syplayt,syllabe,0.156792,système,0.017720,0,0
####orig#####,oogorgi,opposer,0.011572,origine,0.001092,0,0
####gran#####,gragaan,grillon,0.021124,grandir,0.000741,0,0
####chan#####,chachon,chanson,0.097534,chanson,0.097534,0,0
####inqu#####,inqqquu,moqueur,0.011984,inquiet,0.002444,0,0
####cell#####,clnlell,couleur,0.018884,cellule,0.004884,0,0
####épre#####,éérrpré,pourpre,0.059178,épreuve,0.000118,0,0
####just#####,jujsutt,jumelle,0.034159,justice,0.014924,0,0
####doma#####,dodaaad,douille,0.008917,domaine,0.002381,0,0
####vict#####,victict,violent,0.011129,victime,0.003376,0,0
####poig#####,poiphgo,pompier,0.079640,poignée,0.002230,0,0
####oppo#####,ooppopo,torpédo,0.015976,opposer,0.003359,0,0
####arti#####,aatiiat,artisan,0.003759,artiste,0.000086,0,0
####éter#####,éjerter,écarter,0.132015,éternel,0.001034,0,0
####crac#####,crccaal,crucial,0.042054,cracher,0.000461,0,0
####armo#####,ammorri,armoire,0.056674,armoire,0.056674,0,0
####extr#####,exhrtex,exercer,0.042840,extrême,0.008084,0,0
####frag#####,fragaad,frégate,0.049331,fragile,0.003062,0,0
####atel#####,ateltal,acheter,0.004632,atelier,0.000319,0,0
####pein#####,peippin,peupler,0.056602,peintre,0.000391,0,0
####port#####,popprrt,portant,0.049458,portier,0.000389,0,0
####enfi#####,fnfenai,affiner,0.001409,enfiler,0.000062,0,0
####diza#####,dinaaao,dilater,0.146834,dizaine,0.019670,0,0
####opin#####,oooppoi,chapeau,0.006449,opinion,0.001161,0,0
####furi#####,fufffux,ferveur,0.014502,furieux,0.006579,0,0
####exer#####,exereer,exercer,0.054119,exercer,0.054119,0,0
####comp#####,comppro,compère,0.166887,complet,0.015894,0,0
####chag#####,chaghgg,chagrin,0.091372,chagrin,0.091372,0,0
####resp#####,respprs,inspiré,0.056819,respect,0.003362,0,0
####rivi#####,rivrvis,diviser,0.022811,rivière,0.015145,0,0
####auto#####,autotat,abattre,0.004837,automne,0.000307,0,0
####fail#####,failaid,faillir,0.194053,faillir,0.194053,0,0
####parf#####,panpard,pimpant,0.014764,parfait,0.012459,0,0
####bles#####,blssbln,bouille,0.015653,blesser,0.002384,0,0
####jail#####,jajlial,jaillir,0.041817,jaillir,0.041817,0,0
####poig#####,poiphgo,pompier,0.079640,poignet,0.002678,0,0
####soig#####,sogsags,logique,0.066520,soigner,0.001541,0,0
####mess#####,messess,mission,0.047749,message,0.013266,0,0
####coif#####,coiffif,coiffer,0.037698,coiffer,0.037698,0,0
####mill#####,mimllll,tilleul,0.009269,millier,0.000388,0,0
####mira#####,mimaaan,minéral,0.007534,miracle,0.004041,0,0
####péri#####,pépppio,pécheur,0.021866,période,0.000505,0,0
####carr#####,cacrérr,coureur,0.019444,carreau,0.003115,0,0
####veil#####,veileil,veiller,0.048061,veiller,0.048061,0,0
####plan#####,plalaau,plateau,0.031776,planche,0.000673,0,0
####baig#####,baigaao,brigade,0.053975,baigner,0.010442,0,0
####refa#####,rrffaau,refrain,0.013424,refaire,0.001150,0,0
####seco#####,secocvu,sacoche,0.018216,secours,0.002684,0,0
####rigu#####,rugreué,aigreur,0.022213,rigueur,0.001485,0,0
####décr#####,décréco,décrire,0.165739,décrire,0.165739,0,0
####siff#####,sffffif,suffire,0.053440,siffler,0.029643,0,0
####dema#####,dodmeau,drapeau,0.009658,demande,0.001025,0,0
####accu#####,accceau,occulte,0.016336,accuser,0.014195,0,0
####affr#####,fffffad,affreux,0.059179,affreux,0.059179,0,0
####empa#####,emmaeau,pommeau,0.012292,emparer,0.000428,0,0
####heur#####,hhureur,horreur,0.186624,heurter,0.000431,0,0
####cail#####,cailaal,cailler,0.091533,caillou,0.000829,0,0
####aveu#####,avevevu,accueil,0.003386,aveugle,0.000403,0,0
####grat#####,grngaat,grogner,0.076459,gratter,0.000984,0,0
####poin#####,poipion,pompier,0.040559,pointer,0.002570,0,0
####expo#####,expresx,exemple,0.017401,exposer,0.009431,0,0
####aver#####,avervrr,aigreur,0.005307,avertir,0.002076,0,0
####dévo#####,dévdoré,déduire,0.013136,dévorer,0.002607,0,0
####drap#####,draparo,disparu,0.049708,drapeau,0.005156,0,0
####esti#####,keteiti,assorti,0.002635,estimer,0.000016,0,0
####tail#####,ttitaal,toiture,0.061407,tailler,0.033209,0,0
####drif#####,ddifrrf,drifter,0.086750,drifter,0.086750,0,0
####bala#####,balaaal,baisser,0.005698,balayer,0.001336,0,0
####lang#####,laggnau,langage,0.092134,langage,0.092134,0,0
####culo#####,culccou,caleçon,0.011837,culotte,0.005770,0,0
####ouvr#####,oovrrur,ouvrage,0.049158,ouvrage,0.049158,0,0
####cent#####,cencent,cerceau,0.087705,central,0.001394,0,0
####craq#####,craqcas,craquer,0.005471,craquer,0.005471,0,0
####bouq#####,bouqbrs,bourbon,0.336001,bouquet,0.010185,0,0
####atta#####,attaaau,attaque,0.027410,attaque,0.027410,0,0
####déli#####,dédrdii,déduire,0.015677,délicat,0.002772,0,0
####sent#####,sensenn,présent,0.029392,sentier,0.000001,0,0
####cabi#####,cacrban,carreau,0.002689,cabinet,0.000363,0,0
####repr#####,rrprper,frapper,0.019215,reprise,0.000871,0,0
####brûl#####,brûbbèn,brûlure,0.511666,brûlant,0.504460,0,1
####octo#####,ooooooi,opposer,0.003795,octobre,0.001938,0,0
####chac#####,chachau,crachat,0.691364,chacune,0.006350,0,0
####quel#####,qlulqul,quelque,0.383399,quelles,0.001489,0,0
####fant#####,fanfant,fondant,0.061828,fantôme,0.000330,0,0
####velo#####,vevvolà,voiture,0.015481,velours,0.004065,0,0
####nerv#####,nnvvner,nouveau,0.062976,nerveux,0.041976,0,0
####ital#####,ziiital,initial,0.007505,italien,0.000057,0,0
####soul#####,souleol,soulier,0.033758,soulier,0.033758,0,0
####brus#####,brusers,brusque,0.311605,brusque,0.311605,0,0
####apai#####,apapaao,apaiser,0.029205,apaiser,0.029205,0,0
####mode#####,mommode,pommade,0.003988,moderne,0.000230,0,0
####form#####,fooffré,feindre,0.013255,formule,0.000775,0,0
####plac#####,placaau,pinceau,0.077749,placard,0.005054,0,0
####bagn#####,bagjaan,buvette,0.011526,bagnole,0.000587,0,0
####crav#####,cravval,cravate,0.051516,cravate,0.051516,0,0
####mati#####,matrwai,matelas,0.006949,matinée,0.000118,0,0
####méch#####,mécrhhé,péniche,0.015222,méchant,0.000444,0,0
####vitr#####,vitrtrl,vitreux,0.132783,vitrine,0.085308,0,0
####publ#####,puplbll,pupille,0.017873,publier,0.003158,0,0
####rigo#####,zigogoo,engrais,0.018009,rigoler,0.013405,0,0
####célè#####,célcûré,calciné,0.017384,célèbre,0.010577,0,0
####évid#####,ééiéévd,décéder,0.038363,évident,0.000668,0,0
####moui#####,mommori,moucher,0.009674,mouillé,0.002142,0,0
####orgu#####,oogoûgu,orgasme,0.035980,orgueil,0.035628,0,0
####abor#####,abarbrr,bourbon,0.072065,aborder,0.013410,0,0
####repl#####,rèpppré,frapper,0.040641,replier,0.000385,0,0
####chif#####,chichhd,chiffre,0.067853,chiffre,0.067853,0,0
####épui#####,épupppi,épuiser,0.108624,épuiser,0.108624,0,0
####bouf#####,boujerx,boudeur,0.016167,bouffer,0.004393,0,0
####care#####,cacrare,carrure,0.332583,caresse,0.001186,0,0
####disc#####,discirs,douceur,0.103265,discret,0.069986,0,0
####fémi#####,féfffré,février,0.024072,féminin,0.006275,0,0
####dign#####,diddgig,dessein,0.012951,dignité,0.000401,0,0
####join#####,jojnion,joindre,0.088941,joindre,0.088941,0,0
####défi#####,déffdif,décisif,0.045885,défiler,0.002784,0,0
####pass#####,passaas,pensant,0.021676,passant,0.002761,0,0
####écha#####,échahau,écharpe,0.022274,échange,0.013237,0,0
####endo#####,endeedi,indemne,0.018726,endormi,0.005722,0,0
####défa#####,défaaad,défaire,0.043246,défaire,0.043246,0,0
####gale#####,glggaae,geindre,0.030788,galerie,0.000918,0,0
####trem#####,trômwmy,tentant,0.076915,tremper,0.019057,0,0
####gard#####,gaggard,grogner,0.020390,gardien,0.000306,0,0
####liai#####,lialeai,évaluer,0.008977,liaison,0.003412,0,0
####éche#####,échéhhe,échéant,0.060770,échelle,0.022597,0,0
####mode#####,mommode,pommade,0.003988,modeste,0.000257,0,0
####fati#####,fatiaat,feindre,0.008910,fatigué,0.000484,0,0
####murm#####,mmrmuum,murmure,0.085125,murmure,0.085125,0,0
####grim#####,grigrrn,geindre,0.028766,grimace,0.003027,0,0
####grog#####,grgggro,zingaro,0.045860,grogner,0.045766,0,0
####temp#####,tômppru,campeur,0.044691,tempête,0.040157,0,0
####spéc#####,séspppé,découpé,0.004951,spécial,0.000061,0,0
####repé#####,rrpppré,flipper,0.017078,repérer,0.000028,0,0
####scie#####,scisire,exister,0.017339,science,0.003827,0,0
####méla#####,mélmaal,médical,0.046128,mélange,0.000523,0,0
####absu#####,abssbus,autobus,0.029331,absurde,0.000077,0,0
####esto#####,eeteooi,matelot,0.001707,estomac,0.000072,0,0
####cerv#####,ceêvhvl,cerveau,0.171056,cerveau,0.171056,0,0
####coin#####,cocciin,cocasse,0.011563,coincer,0.001397,0,0
####janv#####,javviau,janvier,0.154580,janvier,0.154580,0,0
####rica#####,rrcccal,autocar,0.002108,ricaner,0.000037,0,0
####visi#####,viskvis,visiter,0.109282,visible,0.027871,0,0
####bara#####,banaaau,barbare,0.009102,baraque,0.000181,0,0
